  0.0000000000D+00 1.94924D+03 1.55461D+04 3.08367D+00 4.98480D+02 7.000D-01
  5.6521454184D-12 3.36676D+03 1.73355D+04 3.08246D+00 4.98480D+02 7.000D-01
  1.4747869592D-11 5.64869D+03 1.94576D+04 3.08117D+00 4.98480D+02 7.000D-01
  2.9426461268D-11 9.33546D+03 2.19056D+04 3.07977D+00 4.98480D+02 7.000D-01
  5.3497206665D-11 1.53922D+04 2.46560D+04 3.07819D+00 4.98480D+02 7.000D-01
  9.2774454785D-11 2.52955D+04 2.77497D+04 3.07643D+00 4.98480D+02 7.000D-01
  1.5502565898D-10 4.10203D+04 3.13063D+04 3.07451D+00 4.98480D+02 7.000D-01
  2.4935020715D-10 6.48857D+04 3.55051D+04 3.07244D+00 4.98480D+02 7.000D-01
  3.8876202257D-10 1.00227D+05 4.04616D+04 3.07020D+00 4.98480D+02 7.000D-01
  6.0031946081D-10 1.54016D+05 4.60941D+04 3.06762D+00 4.98480D+02 7.000D-01
  9.3955410119D-10 2.40639D+05 5.21759D+04 3.06451D+00 4.98480D+02 7.000D-01
  1.5039739454D-09 3.85545D+05 5.85418D+04 3.06080D+00 4.98480D+02 7.000D-01
  2.4396837883D-09 6.27175D+05 6.52773D+04 3.05654D+00 4.98480D+02 7.000D-01
  3.9641693261D-09 1.02322D+06 7.25763D+04 3.05179D+00 4.98480D+02 7.000D-01
  6.3979048726D-09 1.65945D+06 8.06483D+04 3.04662D+00 4.98480D+02 7.000D-01
  1.0232042880D-08 2.66855D+06 8.96217D+04 3.04101D+00 4.98480D+02 7.000D-01
  1.6223796195D-08 4.25717D+06 9.95671D+04 3.03493D+00 4.98480D+02 7.000D-01
  2.5521790459D-08 6.74239D+06 1.10545D+05 3.02833D+00 4.98480D+02 7.000D-01
  3.9840834409D-08 1.06036D+07 1.22627D+05 3.02117D+00 4.98480D+02 7.000D-01
  6.1696751041D-08 1.65540D+07 1.35904D+05 3.01341D+00 4.98480D+02 7.000D-01
  9.4736438694D-08 2.56437D+07 1.50475D+05 3.00502D+00 4.98480D+02 7.000D-01
  1.4421103744D-07 3.94097D+07 1.66437D+05 2.99597D+00 4.98480D+02 7.000D-01
  2.1767299052D-07 6.01025D+07 1.83860D+05 2.98623D+00 4.98480D+02 7.000D-01
  3.2601592648D-07 9.10298D+07 2.02775D+05 2.97573D+00 4.98480D+02 7.000D-01
  4.8503664707D-07 1.37085D+08 2.23153D+05 2.96442D+00 4.98480D+02 7.000D-01
  7.1769011856D-07 2.05531D+08 2.44917D+05 2.95224D+00 4.98480D+02 7.000D-01
  1.0567392016D-06 3.06988D+08 2.68006D+05 2.93915D+00 4.98480D+02 7.000D-01
  1.5480555500D-06 4.56726D+08 2.92421D+05 2.92514D+00 4.98480D+02 7.000D-01
  2.2548014955D-06 6.76387D+08 3.18224D+05 2.91024D+00 4.98480D+02 7.000D-01
  3.2628353054D-06 9.96310D+08 3.45527D+05 2.89446D+00 4.98480D+02 7.000D-01
  4.6871406409D-06 1.45849D+09 3.74477D+05 2.87784D+00 4.98480D+02 7.000D-01
