  0.0000000000D+00 1.46635D+03 3.67807D+03 5.35843D+01 4.71607D+02 7.300D-01
  3.6649475469D-06 1.86663D+03 3.87023D+03 5.34935D+01 4.71607D+02 7.300D-01
  7.7516659156D-06 2.31571D+03 4.10382D+03 5.34081D+01 4.71607D+02 7.300D-01
  1.2068377284D-05 2.79275D+03 4.38870D+03 5.33294D+01 4.71607D+02 7.300D-01
  1.6375965053D-05 3.27127D+03 4.73519D+03 5.32582D+01 4.71607D+02 7.300D-01
  2.0530540253D-05 3.73499D+03 5.14916D+03 5.31939D+01 4.71607D+02 7.300D-01
  2.4472746645D-05 4.17696D+03 5.63484D+03 5.31351D+01 4.71607D+02 7.300D-01
  2.7585685631D-05 4.52726D+03 6.22911D+03 5.30887D+01 4.71607D+02 7.300D-01
  3.0632114892D-05 4.87126D+03 6.89921D+03 5.30420D+01 4.71607D+02 7.300D-01
  3.5316666476D-05 5.40274D+03 7.55142D+03 5.29687D+01 4.71607D+02 7.300D-01
  4.2208344009D-05 6.19020D+03 8.15626D+03 5.28628D+01 4.71606D+02 7.300D-01
  5.1817238779D-05 7.29889D+03 8.69777D+03 5.27203D+01 4.71606D+02 7.300D-01
  6.4328911865D-05 8.76041D+03 9.18861D+03 5.25444D+01 4.71605D+02 7.300D-01
  8.0174700694D-05 1.06389D+04 9.63537D+03 5.23372D+01 4.71605D+02 7.300D-01
  9.9934981161D-05 1.30217D+04 1.00443D+04 5.21017D+01 4.71603D+02 7.300D-01
  1.2433849534D-04 1.60211D+04 1.04217D+04 5.18415D+01 4.71602D+02 7.300D-01
  1.5428529697D-04 1.97796D+04 1.07740D+04 5.15603D+01 4.71601D+02 7.300D-01
  1.9087703049D-04 2.44767D+04 1.11069D+04 5.12616D+01 4.71598D+02 7.300D-01
  2.3544992066D-04 3.03362D+04 1.14262D+04 5.09490D+01 4.71596D+02 7.300D-01
  2.8960805239D-04 3.76357D+04 1.17367D+04 5.06253D+01 4.71593D+02 7.300D-01
  3.5525063292D-04 4.67148D+04 1.20432D+04 5.02931D+01 4.71589D+02 7.300D-01
  4.3459177608D-04 5.79845D+04 1.23502D+04 4.99543D+01 4.71584D+02 7.300D-01
  5.3017374672D-04 7.19360D+04 1.26614D+04 4.96105D+01 4.71577D+02 7.300D-01
